iter	Logloss
123	0.303723114
124	0.3035836792
125	0.3034855347
126	0.303410614
127	0.3033442383
128	0.3033297424
129	0.3032952576
130	0.3032321167
131	0.3031626587
132	0.3031253662
133	0.3030784302
134	0.3030386963
135	0.3029839478
136	0.3029595032
137	0.302920105
138	0.3029102173
139	0.3028849792
140	0.3027828369
141	0.3027421265
142	0.3026860352
143	0.3025383911
144	0.3025094604
145	0.3024714355
146	0.302442688
147	0.3024341431
148	0.3024123535
149	0.3023596497
150	0.3023362732
151	0.3023132935
152	0.3022706909
153	0.3022416382
154	0.3022289429
155	0.3021902466
156	0.3021679993
157	0.3021075439
158	0.3020612183
159	0.3019958496
160	0.301960083
161	0.3019424438
162	0.3019265137
163	0.3019039917
164	0.3018657837
165	0.3018056946
166	0.301776886
167	0.3017088318
168	0.3016360474
169	0.301539856
170	0.3015164185
171	0.3014621582
172	0.3013250122
173	0.3011103516
174	0.300950592
175	0.3007391052
176	0.3006565857
177	0.3004844666
178	0.3003588867
179	0.3001641846
180	0.3000687256
181	0.2999346313
182	0.2997392578
183	0.2995737915
184	0.2994405212
185	0.2993322754
186	0.2992050781
187	0.2991119995
188	0.2990447693
189	0.2989562683
190	0.298899231
191	0.2988214722
192	0.2987332153
193	0.2986168213
194	0.2985223999
195	0.2984402466
196	0.2984277039
197	0.2983988342
198	0.2983676147
199	0.2983429565
200	0.2983155212
201	0.2982977295
202	0.2982867737
203	0.298274231
204	0.298269928
205	0.2982541504
206	0.2982210693
207	0.2982037964
208	0.2981679688
209	0.2981547546
210	0.298154541
211	0.2981244812
212	0.2981011963
213	0.2980830688
214	0.2980671387
215	0.2980491943
216	0.2980166016
217	0.2979691162
218	0.2979492188
219	0.2979196777
220	0.2979012756
221	0.2978440247
222	0.2978347778
223	0.2978044739
224	0.2978043213
225	0.2977492676
226	0.2977270508
227	0.2977125244
228	0.2976936646
229	0.2976386108
230	0.2976142578
231	0.2975787964
232	0.297568634
233	0.2975569153
234	0.297537323
235	0.2975166016
236	0.2975083008
237	0.2974932251
238	0.2974545288
239	0.2973597107
240	0.2973018188
241	0.297230835
242	0.2972099304
243	0.2971395264
244	0.2970913696
245	0.2970324707
246	0.2969968262
247	0.296934082
248	0.2969096985
249	0.2968919373
250	0.2968540039
251	0.2968199463
252	0.2967833862
253	0.2967655334
254	0.2967276001
255	0.2967046509
256	0.2966902771
257	0.2966774292
258	0.2966709595
259	0.2966611328
260	0.2966526489
261	0.296637146
262	0.2966257629
263	0.2966045532
264	0.2965850525
265	0.2965473328
266	0.2965232544
267	0.2965172729
268	0.2965086975
269	0.2964928589
270	0.2964864502
271	0.2964824219
272	0.2964605103
273	0.2964584045
274	0.2964519043
275	0.2964410706
276	0.2964414062
277	0.2964345093
278	0.2964174805
279	0.2964031067
280	0.2963918762
281	0.2963807373
282	0.2963742371
283	0.2963694458
284	0.2963528442
285	0.2963224487
286	0.2963086548
287	0.2963087158
288	0.2963086548
289	0.2962967224
290	0.2962904053
291	0.2962902832
292	0.2962768555
293	0.2962574768
294	0.2962482605
295	0.2962482605
296	0.2962432251
297	0.2962431335
298	0.2962337341
299	0.296228363
300	0.2962124634
301	0.296165741
302	0.2961541748
303	0.2961412354
304	0.2961237793
305	0.2961199341
306	0.2961196594
307	0.2961123047
308	0.2961018677
309	0.2960825195
310	0.2960770264
311	0.2960692749
312	0.2960627441
313	0.2960539551
314	0.296053894
315	0.2960496216
316	0.296035675
317	0.2960296936
318	0.2960298767
319	0.2960230713
320	0.2960144653
321	0.2959956665
322	0.2959890747
323	0.2959889526
324	0.2959888
325	0.2959890137
326	0.2959891663
327	0.2959889221
328	0.2959890747
329	0.2959890137
330	0.2959887085
331	0.2959887085
332	0.2959891663
333	0.2959818115
334	0.2959819641
335	0.2959819946
336	0.2959820557
337	0.2959817505
338	0.2959815063
339	0.2959815063
340	0.295965271
341	0.2959498901
342	0.2959440918
343	0.2959171753
344	0.2959095154
345	0.2958806152
346	0.2958806152
347	0.2958703308
348	0.2958570557
349	0.295832489
350	0.2958326111
351	0.295783783
352	0.2957636108
353	0.2957491455
354	0.2957180176
355	0.2957100525
356	0.2957018127
357	0.2956885681
358	0.2956774902
359	0.2956683655
360	0.2956571655
361	0.295657074
362	0.295652832
363	0.2956453247
364	0.2956455688
365	0.2956426392
366	0.2956426697
367	0.2956428528
368	0.2956401978
369	0.2956402283
370	0.2956344299
371	0.2956315308
372	0.2956208496
373	0.2956174622
374	0.2956100769
375	0.295610321
376	0.2956065063
377	0.2956065063
378	0.2956017456
379	0.2956017456
380	0.2956014404
381	0.2955991821
382	0.2955991821
383	0.2955995178
384	0.295598877
385	0.2955978699
386	0.2955957642
387	0.2955905457
388	0.2955905457
389	0.295588562
390	0.29556604
391	0.2955607605
392	0.2955554504
393	0.295555481
394	0.2955454102
395	0.2955433044
396	0.2955411987
397	0.2955414124
398	0.2955350037
399	0.2955349731
400	0.2955289612
401	0.295528717
402	0.2955213013
403	0.2955073242
404	0.2954750671
405	0.2954624329
406	0.2954387207
407	0.2954104614
408	0.2954017944
409	0.2953742065
410	0.295369812
411	0.2953624878
412	0.2953577271
413	0.2953572998
414	0.2953470459
415	0.2953340759
416	0.2953298035
417	0.2953274841
418	0.2953268433
419	0.2953271484
420	0.295317688
421	0.295316925
422	0.2953023987
423	0.2953023071
424	0.2952932739
425	0.2952878418
426	0.2952828369
427	0.2952752075
428	0.2952423096
429	0.2952266846
430	0.2951975403
431	0.2951803284
432	0.2951532288
433	0.2951341858
434	0.2951286316
435	0.2951043091
436	0.2950905151
437	0.2950891113
438	0.2950773926
439	0.2950623169
440	0.2950380249
441	0.29502948
442	0.2950190125
443	0.2950127563
444	0.2950067749
445	0.2949992065
446	0.2949682617
447	0.2949525146
448	0.2949397888
449	0.2949394531
450	0.2949394531
451	0.2949295044
452	0.2949280701
453	0.2949275208
454	0.2949274902
455	0.2949276123
456	0.2949276733
457	0.2949280396
458	0.294927002
459	0.2949269409
460	0.2949267578
461	0.2949268494
462	0.2949267578
463	0.294926239
464	0.2949266968
465	0.2949242859
466	0.2949232178
467	0.2949222412
468	0.2949205933
469	0.294919281
470	0.2949151611
471	0.294914978
472	0.2949103699
473	0.2949103699
474	0.2949103394
475	0.2949102783
476	0.2949103699
477	0.2949104309
478	0.2949104614
479	0.2949103394
480	0.2949098511
481	0.2949098511
482	0.29490979
483	0.294909668
484	0.2949073792
485	0.2949061584
486	0.2949055176
487	0.2949055786
488	0.2949054565
489	0.2948913879
490	0.2948883362
491	0.2948768921
492	0.2948639221
493	0.2948551941
494	0.2948521118
495	0.2948408508
496	0.2948122253
497	0.2948058167
498	0.2948057251
499	0.2948030396
