iter	Logloss
0	0.5964349976
1	0.5395975952
2	0.4989119263
3	0.4686279297
4	0.4481655884
5	0.4315718384
6	0.4185393372
7	0.4088582153
8	0.4035747986
9	0.3985790405
10	0.3927290039
11	0.3862915649
12	0.3831492615
13	0.3810286865
14	0.3783399353
15	0.3753672485
16	0.3712183838
17	0.3681760864
18	0.3647213745
19	0.3610240479
20	0.3590819702
21	0.3562704468
22	0.3551956787
23	0.3542245178
24	0.3512850037
25	0.3490593872
26	0.3468265686
27	0.3438117065
28	0.3410739136
29	0.3397148132
30	0.3383802795
31	0.3375032654
32	0.3363330383
33	0.3352054138
34	0.3343474731
35	0.3332164612
36	0.3315017395
37	0.3301271973
38	0.3291747437
39	0.3281483154
40	0.3279651184
41	0.3272401733
42	0.3267778015
43	0.3260773315
44	0.3258396912
45	0.3240457153
46	0.3240363464
47	0.3235944214
48	0.3233278198
49	0.3230443115
50	0.3225097656
51	0.3219695435
52	0.3219348145
53	0.3212409973
54	0.3209141541
55	0.3209080505
56	0.319793396
57	0.3195205078
58	0.3193907166
59	0.3193656921
60	0.3186933289
61	0.3183053589
62	0.3179306641
63	0.3176389771
64	0.3168666382
65	0.3167001038
66	0.3161238098
67	0.3157593689
68	0.3156644287
69	0.3148929749
70	0.3147090759
71	0.3144265137
72	0.3142511597
73	0.3141293945
74	0.3136960144
75	0.3136322632
76	0.3133487549
77	0.3128471069
78	0.3128106079
79	0.3128095703
80	0.3128032837
81	0.3122355347
82	0.312039917
83	0.3120200806
84	0.3117047119
85	0.3114588013
86	0.3112613525
87	0.3111773682
88	0.3109717102
89	0.310803772
90	0.3103640137
91	0.3099775085
92	0.3096857605
93	0.3094986572
94	0.3088092041
95	0.3086511841
96	0.3085446167
97	0.3079935303
98	0.3079438477
99	0.3076697388
100	0.3076331482
101	0.3072581787
102	0.3069275208
103	0.3067165222
104	0.3065491638
105	0.3064022522
106	0.3061225586
107	0.3059270935
108	0.3058618774
109	0.3057277527
110	0.3054997559
111	0.3052075806
112	0.3052078857
113	0.3050240784
114	0.3048051147
115	0.3047310791
116	0.30461026
117	0.3044675293
118	0.3042467957
119	0.3041140747
120	0.30390979
121	0.3038603516
122	0.3037663574
